anio;EMPRESA;TOTAL
09/2019;"EMPRESA LINEA SIETE SAT";1081801
09/2019;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";361395
09/2019;"EMPRESA MONTE GRANDE S.A. LINEA 501";3539430
09/2019;"EMPRESA NUEVE DE JULIO S.A.T.";2147649
09/2019;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2542080
09/2019;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";437575
09/2019;"EMRESA MONTERREY S.R.L.";156050
09/2019;"ERSA URBANO";1897871
09/2019;"EXPRESO EMPALME LOBOS S.R.L.";66842
09/2019;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";1803020
09/2019;"EXPRESO GENERAL SARMIENTO S.A.";3546178
09/2019;"EXPRESO LA PLATA BUENOS AIRES S.A.";1059424
09/2019;"EXPRESO NUEVE DE JULIO S.A.";1354944
09/2019;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";2045121
09/2019;"EXPRESO QUILMES S.A.";1883057
09/2019;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1298994
09/2019;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";3817886
09/2019;"EXPRESO VILLA NUEVA S.A.";1700507
09/2019;"FERROVIAS S.A.";2336884
09/2019;"FUERTE BARRAGAN S.A.T.I.C.I.";1108188
09/2019;"GENERAL PUEYRREDON S.A.T.C.I.";1118173
09/2019;"GENERAL TOMAS GUIDO S.A.C.I.F.";4871249
09/2019;"GRUPO LINEA 179 S.A.";480607
09/2019;"INTERISLEÑA S.A.C.I.";1316
09/2019;"JUAN B. JUSTO S.A.T.C.I.";1313231
09/2019;"LA CABAÑA S.A.";6349217
09/2019;"LA CENTRAL DE ESCOBAR SA";1663409
09/2019;"LA CENTRAL DE VICENTE LOPEZ S.A.";3409588
09/2019;"LA NUEVA METROPOL S.A.";4540898
09/2019;"LA PRIMERA DE GRAND BOURG S.A.";4488830
09/2019;"LA PRIMERA DE LA ESCONDIDA SRL";124632
09/2019;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";310007
09/2019;"LA PRIMERA DE MARTINEZ S.A";1291207
09/2019;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";2311105
09/2019;"LIBERTADOR SAN MARTIN SAT";1452991
09/2019;"LINEA 10 S.A.";803401
09/2019;"LINEA 17 S.A.";1229224
09/2019;"LINEA 213 S.A. DE TRANSPORTE";1404351
09/2019;"LINEA 22 S.A.";641442
09/2019;"LINEA 71 S.A.";1346190
09/2019;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";836136
09/2019;"LINEA EXPRESO LINIERS S.A.I.Y C.";629768
09/2019;"LINEA SESENTA SA";1019759
09/2019;"LOS CONSTITUYENTES S.A.T.";3076585
09/2019;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";1292898
09/2019;"MAYO S.A.T.A.";940068
09/2019;METROVIAS;29509183
09/2019;"METROVIAS S.A. (URQUIZA)";2157717
09/2019;"MICRO OMNIBUS AVENIDA S.A.";987165
09/2019;"MICRO OMNIBUS ESTE S.A";718519
09/2019;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";2768140
09/2019;"MICRO OMNIBUS GRAL PACHECO SRL";1169171
09/2019;"MICRO OMNIBUS MITRE S.A.";1763261
09/2019;"MICRO OMNIBUS NORTE S.A.";2800982
09/2019;"MICRO OMNIBUS O´HIGGINS S.A.T.";570859
09/2019;"MICRO OMNIBUS PRIMERA JUNTA S.A";3139289
09/2019;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";4929131
09/2019;"MICRO OMNIBUS SUR S.A.C.";1634545
09/2019;"MICRO OMNIBUS TIGRE S.A.";2810046
09/2019;"MICROEXPRES S.A.";187876
09/2019;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";740775
09/2019;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";2044513
09/2019;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";1050931
09/2019;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";1260239
09/2019;"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRE";10959
09/2019;"NACION SERVICIOS S.A.";410333
09/2019;"NUDO S.A.";2765300
09/2019;"NUEVO IDEAL S.A.";3330441
09/2019;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";1793028
09/2019;"PILAR BUS S.A";810943
09/2019;"ROCARAZA S.A.";2062470
09/2019;"RUTA BUS S.A.";1191011
09/2019;"SAN VICENTE S.A. DE TRANSPORTES";4225769
09/2019;"SARGENTO CABRAL S.A.DE TRANSPORTE";2626856
09/2019;"SERGIO A. RIVAS S.R.L";113934
09/2019;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";1564851
09/2019;"SOFSE - Belgrano Sur";1579401
09/2019;"SOFSE - Mitre";5546631
09/2019;"SOFSE - Roca";15340819
09/2019;"SOFSE - San Martin";3230455
09/2019;"SOFSE- SARMIENTO";8235180
09/2019;"SOFSE- TREN DE LA COSTA";37754
09/2019;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";893669
09/2019;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";578069
09/2019;"TRANSP. SGTO. CABRAL";706252
09/2019;"TRANSPORTE 11 DE JUNIO S.R.L.";420589
09/2019;"TRANSPORTE AUTOMOTORES LA PLATA SA";2614922
09/2019;"TRANSPORTE DEL SUR S.R.L.";626386
09/2019;"TRANSPORTE ESCALADA S.A.T.";896494
09/2019;"TRANSPORTE IDEAL SAN JUSTO S.A.";3288134
09/2019;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";583103
09/2019;"TRANSPORTE LA UNION SA";1154228
09/2019;"TRANSPORTE LARRAZABAL C.I.S.A.";3953633
09/2019;"TRANSPORTE NUEVE DE JULIO SAC.";766268
09/2019;"TRANSPORTE SAPEM";410333
09/2019;"TRANSPORTES 1º SEPTIEMBRE S.A.";612095
09/2019;"TRANSPORTES 270 S.A.";739441
09/2019;"TRANSPORTES ALMIRANTE BROWN S.A.";1240280
09/2019;"TRANSPORTES ATLANTIDA S.A.C.";1657059
09/2019;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";944451
09/2019;"TRANSPORTES AUTOMOTORES CALLAO S.A.";2393280
09/2019;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";2544260
09/2019;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";1424484
09/2019;"TRANSPORTES COLEGIALES S.A.C.I.";872931
09/2019;"TRANSPORTES DEL TEJAR S.A.";961020
09/2019;"TRANSPORTES LA PERLITA S.A.";8584117
09/2019;"TRANSPORTES LINEA 123 S.A.C.I.";356734
09/2019;"TRANSPORTES LOPE DE VEGA S.A.C.I.";3183864
09/2019;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";1276924
09/2019;"TRANSPORTES QUIRNO COSTA S.A.C.I.";771088
09/2019;"TRANSPORTES RIO GRANDE S.A.C.I.F.";2216639
09/2019;"TRANSPORTES SAN CAYETANO S.A.C.";390163
09/2019;"TRANSPORTES SAN JUAN BAUTISTA S.A.";1598170
09/2019;"TRANSPORTES SANTA FE S.A.C.I.";1475983
09/2019;"TRANSPORTES SESENTA Y OCHO S.R.L.";1322933
09/2019;"TRANSPORTES SOL DE MAYO C.I.S.A.";692178
09/2019;"TRANSPORTES SUR-NOR C.I.S.A.";1688891
09/2019;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";2637868
09/2019;"TRANSPORTES VILLA BOSCH SAC el";826282
09/2019;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";733396
09/2019;"UNION PLATENSE SRL";3295259
09/2019;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";1070140
09/2019;"UNION TRANSPORTISTAS DE EMPRESAS SA";696642
09/2019;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";439553
09/2019;"UTENOR SA L 722";170536
09/2019;"VUELTA DE ROCHA S.A.T.C.I.";829768
09/2019;"YITOS S.A.";2509451
08/2019;"17 DE AGOSTO S.A.";870477
08/2019;"4 DE SEPTIEMBRE S.A.T.C.P.";1213184
08/2019;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";4074964
08/2019;"ALMAFUERTE S.A.T.A.C.I.";937896
08/2019;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";1041402
08/2019;"AUTOBUSES BUENOS AIRES SRL";1627478
08/2019;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";4951753
08/2019;"BERNARDINO RIVADAVIA S.A.T.A.";1845198
08/2019;"BUENOS AIRES BUS SOCIEDAD ANONIMA";337575
08/2019;"BUS DEL OESTE S.A.";371062
08/2019;"CARDENAS S.A. EMPRESA DE TRANSPORTES";1212820
08/2019;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";1092489
08/2019;"CIA LA PAZ AMADOR MOURE SACIFIYA";243551
08/2019;"COLECTIVEROS UNIDOS S.A.";1666439
08/2019;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";4152834
08/2019;"COMPAÑIA ISLEÑA S.R.L.";4263286
08/2019;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";1823140
08/2019;"COMPAÑIA NOROESTE S.A.T.";2922318
08/2019;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";527814
08/2019;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";73875
08/2019;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";4510270
08/2019;"D.U.V.I. SOCIEDAD ANONIMA";915979
08/2019;"EL NUEVO HALCON S.A.";2229040
08/2019;"EL PUENTE S.A.T.";1796008
08/2019;"EL URBANO SRL";186185
08/2019;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";1047388
08/2019;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1347183
08/2019;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";1310564
08/2019;"EMPRESA 501 SA";1569759
08/2019;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";652346
08/2019;"EMPRESA CINCO DE AGOSTO S.R.L.";307344
08/2019;"EMPRESA CIUDAD DE SAN FERNANDO SA";2484679
08/2019;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2692120
08/2019;"EMPRESA DE TRANSPORTE DEL SUR SRL";2609738
08/2019;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";951138
08/2019;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1653133
08/2019;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";40719
08/2019;"EMPRESA DEL OESTE SAT";3561410
08/2019;"EMPRESA J.M. EZEIZA S.R.L.";1265488
08/2019;"EMPRESA LINEA 216 S.A.T.";9252632
08/2019;"EMPRESA LINEA SIETE SAT";1074566
08/2019;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";369114
08/2019;"EMPRESA MONTE GRANDE S.A. LINEA 501";3668303
08/2019;"EMPRESA NUEVE DE JULIO S.A.T.";2125216
08/2019;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2538872
08/2019;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";434036
08/2019;"EMRESA MONTERREY S.R.L.";159405
08/2019;"ERSA URBANO";1941589
08/2019;"EXPRESO EMPALME LOBOS S.R.L.";66906
08/2019;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";1773505
08/2019;"EXPRESO GENERAL SARMIENTO S.A.";3412504
08/2019;"EXPRESO LA PLATA BUENOS AIRES S.A.";1045848
08/2019;"EXPRESO NUEVE DE JULIO S.A.";1355556
08/2019;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";2132944
08/2019;"EXPRESO QUILMES S.A.";1883271
08/2019;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1288130
08/2019;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";3853318
08/2019;"EXPRESO VILLA NUEVA S.A.";1706926
08/2019;"FERROVIAS S.A.";2384103
08/2019;"FUERTE BARRAGAN S.A.T.I.C.I.";1097644
08/2019;"GENERAL PUEYRREDON S.A.T.C.I.";1121215
08/2019;"GENERAL TOMAS GUIDO S.A.C.I.F.";4832137
08/2019;"GRUPO LINEA 179 S.A.";490750
08/2019;"INTERISLEÑA S.A.C.I.";1235
08/2019;"JUAN B. JUSTO S.A.T.C.I.";1319579
08/2019;"LA CABAÑA S.A.";6441823
08/2019;"LA CENTRAL DE ESCOBAR SA";1720342
08/2019;"LA CENTRAL DE VICENTE LOPEZ S.A.";3386678
08/2019;"LA NUEVA METROPOL S.A.";4572162
08/2019;"LA PRIMERA DE GRAND BOURG S.A.";4583585
08/2019;"LA PRIMERA DE LA ESCONDIDA SRL";125399
08/2019;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";306494
08/2019;"LA PRIMERA DE MARTINEZ S.A";1293520
08/2019;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";2341467
08/2019;"LIBERTADOR SAN MARTIN SAT";1420354
08/2019;"LINEA 10 S.A.";805508
08/2019;"LINEA 17 S.A.";1221741
08/2019;"LINEA 213 S.A. DE TRANSPORTE";1418180
08/2019;"LINEA 22 S.A.";654543
08/2019;"LINEA 71 S.A.";1370171
08/2019;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";858127
08/2019;"LINEA EXPRESO LINIERS S.A.I.Y C.";587969
08/2019;"LINEA SESENTA SA";1032947
08/2019;"LOS CONSTITUYENTES S.A.T.";3084092
08/2019;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";1299033
08/2019;"MAYO S.A.T.A.";912689
08/2019;METROVIAS;30052265
08/2019;"METROVIAS S.A. (URQUIZA)";2238418
08/2019;"MICRO OMNIBUS AVENIDA S.A.";1011112
08/2019;"MICRO OMNIBUS ESTE S.A";738553
08/2019;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";2793645
08/2019;"MICRO OMNIBUS GRAL PACHECO SRL";1178617
08/2019;"MICRO OMNIBUS MITRE S.A.";1852152
08/2019;"MICRO OMNIBUS NORTE S.A.";2858852
08/2019;"MICRO OMNIBUS O´HIGGINS S.A.T.";591590
08/2019;"MICRO OMNIBUS PRIMERA JUNTA S.A";3107599
08/2019;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";4948804
08/2019;"MICRO OMNIBUS SUR S.A.C.";1611416
08/2019;"MICRO OMNIBUS TIGRE S.A.";2875247
08/2019;"MICROEXPRES S.A.";185056
08/2019;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";739581
08/2019;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";2089696
08/2019;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";1049069
08/2019;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";1295620
08/2019;"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRE";11305
08/2019;"NACION SERVICIOS S.A.";410835
08/2019;"NUDO S.A.";2801899
08/2019;"NUEVO IDEAL S.A.";3384287
08/2019;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";1798302
08/2019;"PILAR BUS S.A";829339
08/2019;"ROCARAZA S.A.";2073601
08/2019;"RUTA BUS S.A.";1190972
08/2019;"SAN VICENTE S.A. DE TRANSPORTES";4182905
08/2019;"SARGENTO CABRAL S.A.DE TRANSPORTE";2652172
08/2019;"SERGIO A. RIVAS S.R.L";110693
08/2019;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";1586710
08/2019;"SOFSE - Belgrano Sur";1578161
08/2019;"SOFSE - Mitre";5492905
08/2019;"SOFSE - Roca";15502496
08/2019;"SOFSE - San Martin";3213455
08/2019;"SOFSE- SARMIENTO";8238290
08/2019;"SOFSE- TREN DE LA COSTA";46199
08/2019;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";899087
08/2019;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";587363
08/2019;"TRANSP. SGTO. CABRAL";706150
08/2019;"TRANSPORTE 11 DE JUNIO S.R.L.";432696
08/2019;"TRANSPORTE AUTOMOTORES LA PLATA SA";2626946
08/2019;"TRANSPORTE DEL SUR S.R.L.";646951
08/2019;"TRANSPORTE ESCALADA S.A.T.";921374
08/2019;"TRANSPORTE IDEAL SAN JUSTO S.A.";3342284
08/2019;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";588507
08/2019;"TRANSPORTE LA UNION SA";1145697
08/2019;"TRANSPORTE LARRAZABAL C.I.S.A.";4011195
08/2019;"TRANSPORTE NUEVE DE JULIO SAC.";772228
08/2019;"TRANSPORTE SAPEM";410835
08/2019;"TRANSPORTES 1º SEPTIEMBRE S.A.";630985
08/2019;"TRANSPORTES 270 S.A.";754645
08/2019;"TRANSPORTES ALMIRANTE BROWN S.A.";1261136
08/2019;"TRANSPORTES ATLANTIDA S.A.C.";1667826
08/2019;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";955930
08/2019;"TRANSPORTES AUTOMOTORES CALLAO S.A.";2429614
08/2019;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";2556342
08/2019;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";1420486
08/2019;"TRANSPORTES COLEGIALES S.A.C.I.";869693
08/2019;"TRANSPORTES DEL TEJAR S.A.";952520
08/2019;"TRANSPORTES LA PERLITA S.A.";8656320
08/2019;"TRANSPORTES LINEA 123 S.A.C.I.";363423
08/2019;"TRANSPORTES LOPE DE VEGA S.A.C.I.";3239885
08/2019;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";1344785
08/2019;"TRANSPORTES QUIRNO COSTA S.A.C.I.";789662
08/2019;"TRANSPORTES RIO GRANDE S.A.C.I.F.";2254657
08/2019;"TRANSPORTES SAN CAYETANO S.A.C.";386718
08/2019;"TRANSPORTES SAN JUAN BAUTISTA S.A.";1588236
08/2019;"TRANSPORTES SANTA FE S.A.C.I.";1545041
08/2019;"TRANSPORTES SESENTA Y OCHO S.R.L.";1357058
08/2019;"TRANSPORTES SOL DE MAYO C.I.S.A.";696687
08/2019;"TRANSPORTES SUR-NOR C.I.S.A.";1754169
08/2019;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";2653700
08/2019;"TRANSPORTES VILLA BOSCH SAC el";848956
08/2019;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";740383
08/2019;"UNION PLATENSE SRL";3245204
08/2019;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";1089068
08/2019;"UNION TRANSPORTISTAS DE EMPRESAS SA";708186
08/2019;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";427571
08/2019;"UTENOR SA L 722";177737
08/2019;"VUELTA DE ROCHA S.A.T.C.I.";863181
08/2019;"YITOS S.A.";2565242
07/2019;"17 DE AGOSTO S.A.";811294
07/2019;"4 DE SEPTIEMBRE S.A.T.C.P.";1159949
07/2019;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";3800471
07/2019;"ALMAFUERTE S.A.T.A.C.I.";920396
07/2019;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";971657
07/2019;"AUTOBUSES BUENOS AIRES SRL";1549024
07/2019;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";4691008
07/2019;"BERNARDINO RIVADAVIA S.A.T.A.";1732298
07/2019;"BUENOS AIRES BUS SOCIEDAD ANONIMA";314661
07/2019;"BUS DEL OESTE S.A.";354487
07/2019;"CARDENAS S.A. EMPRESA DE TRANSPORTES";1121119
07/2019;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";1041720
07/2019;"CIA LA PAZ AMADOR MOURE SACIFIYA";243139
07/2019;"COLECTIVEROS UNIDOS S.A.";1550022
07/2019;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";3812861
07/2019;"COMPAÑIA ISLEÑA S.R.L.";3899531
07/2019;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";1716035
07/2019;"COMPAÑIA NOROESTE S.A.T.";2743116
07/2019;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";491977
07/2019;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";61249
07/2019;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";4250471
07/2019;"D.U.V.I. SOCIEDAD ANONIMA";884719
07/2019;"EL NUEVO HALCON S.A.";2141127
07/2019;"EL PUENTE S.A.T.";1700196
07/2019;"EL URBANO SRL";175797
07/2019;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";1005287
07/2019;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1256637
07/2019;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";1219331
07/2019;"EMPRESA 501 SA";1459576
07/2019;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";610128
07/2019;"EMPRESA CINCO DE AGOSTO S.R.L.";295045
07/2019;"EMPRESA CIUDAD DE SAN FERNANDO SA";2323116
07/2019;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2627868
07/2019;"EMPRESA DE TRANSPORTE DEL SUR SRL";2386981
07/2019;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";870939
07/2019;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1566678
07/2019;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";37266
07/2019;"EMPRESA DEL OESTE SAT";3315198
07/2019;"EMPRESA J.M. EZEIZA S.R.L.";1168865
07/2019;"EMPRESA LINEA 216 S.A.T.";8699597
07/2019;"EMPRESA LINEA SIETE SAT";984466
07/2019;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";333511
07/2019;"EMPRESA MONTE GRANDE S.A. LINEA 501";3369049
07/2019;"EMPRESA NUEVE DE JULIO S.A.T.";1927511
07/2019;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2417526
07/2019;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";411261
07/2019;"EMRESA MONTERREY S.R.L.";156664
07/2019;"ERSA URBANO";1815428
07/2019;"EXPRESO EMPALME LOBOS S.R.L.";59036
07/2019;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";1611086
07/2019;"EXPRESO GENERAL SARMIENTO S.A.";3323070
07/2019;"EXPRESO LA PLATA BUENOS AIRES S.A.";952344
07/2019;"EXPRESO LOMAS S.A.";1
07/2019;"EXPRESO NUEVE DE JULIO S.A.";1259653
07/2019;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";2041703
07/2019;"EXPRESO QUILMES S.A.";1770529
07/2019;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1218584
07/2019;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";3549413
07/2019;"EXPRESO VILLA NUEVA S.A.";1620888
07/2019;"FERROVIAS S.A.";2296665
07/2019;"FUERTE BARRAGAN S.A.T.I.C.I.";983174
07/2019;"GENERAL PUEYRREDON S.A.T.C.I.";1062654
07/2019;"GENERAL TOMAS GUIDO S.A.C.I.F.";4457499
07/2019;"GRUPO LINEA 179 S.A.";458788
07/2019;"INTERISLEÑA S.A.C.I.";1131
07/2019;"JUAN B. JUSTO S.A.T.C.I.";1256626
07/2019;"LA CABAÑA S.A.";5996082
07/2019;"LA CENTRAL DE ESCOBAR SA";1657312
07/2019;"LA CENTRAL DE VICENTE LOPEZ S.A.";3189918
07/2019;"LA NUEVA METROPOL S.A.";4300725
07/2019;"LA PRIMERA DE GRAND BOURG S.A.";4258606
07/2019;"LA PRIMERA DE LA ESCONDIDA SRL";118138
07/2019;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";310772
07/2019;"LA PRIMERA DE MARTINEZ S.A";1206637
07/2019;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";2210313
07/2019;"LIBERTADOR SAN MARTIN SAT";1315351
07/2019;"LINEA 10 S.A.";757486
07/2019;"LINEA 17 S.A.";1152071
07/2019;"LINEA 213 S.A. DE TRANSPORTE";1357556
07/2019;"LINEA 22 S.A.";613811
07/2019;"LINEA 71 S.A.";1284524
07/2019;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";776997
07/2019;"LINEA EXPRESO LINIERS S.A.I.Y C.";613288
07/2019;"LINEA SESENTA SA";946402
07/2019;"LOS CONSTITUYENTES S.A.T.";2896981
07/2019;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";1230922
07/2019;"MAYO S.A.T.A.";827096
07/2019;METROVIAS;29045814
07/2019;"METROVIAS S.A. (URQUIZA)";2235210
07/2019;"MICRO OMNIBUS AVENIDA S.A.";934491
07/2019;"MICRO OMNIBUS ESTE S.A";675910
