anio;LINEA;TOTAL
09/2019;"LINEA 343";1210626
09/2019;"LINEA 350";602353
09/2019;"LINEA 354";944451
09/2019;"LINEA 355";62898
09/2019;"LINEA 36";275301
09/2019;"LINEA 365";2656685
09/2019;"LINEA 37";1240727
09/2019;"LINEA 370";308476
09/2019;"LINEA 371";1015609
09/2019;"LINEA 372";172062
09/2019;"LINEA 373";487749
09/2019;"LINEA 378";1206805
09/2019;"LINEA 379";31022
09/2019;"LINEA 382";649711
09/2019;"LINEA 383";542368
09/2019;"LINEA 384";239915
09/2019;"LINEA 385";410705
09/2019;"LINEA 386";133776
09/2019;"LINEA 388";163145
09/2019;"LINEA 39";1475983
09/2019;"LINEA 390";304774
09/2019;"LINEA 391";736602
09/2019;"LINEA 392";172807
09/2019;"LINEA 394";684386
09/2019;"LINEA 395";572815
09/2019;"LINEA 4";692178
09/2019;"LINEA 403";6584
09/2019;"LINEA 404";881784
09/2019;"LINEA 405";487370
09/2019;"LINEA 406";798061
09/2019;"LINEA 407";457616
09/2019;"LINEA 41";1209156
09/2019;"LINEA 410";306723
09/2019;"LINEA 414";43532
09/2019;"LINEA 418";70415
09/2019;"LINEA 42";872931
09/2019;"LINEA 421";91003
09/2019;"LINEA 422";863188
09/2019;"LINEA 429";54416
09/2019;"LINEA 430";98158
09/2019;"LINEA 435";126253
09/2019;"LINEA 436";134175
09/2019;"LINEA 437";417481
09/2019;"LINEA 44";793372
09/2019;"LINEA 440";2846786
09/2019;"LINEA 441";504765
09/2019;"LINEA 443";38440
09/2019;"LINEA 443A";267957
09/2019;"LINEA 445";246290
09/2019;"LINEA 448";1406580
09/2019;"LINEA 449";608739
09/2019;"LINEA 45";899448
09/2019;"LINEA 452 LANCHAS";1316
09/2019;"LINEA 46";696642
09/2019;"LINEA 461";99737
09/2019;"LINEA 462";73714
09/2019;"LINEA 463";557104
09/2019;"LINEA 464";324013
09/2019;"LINEA 47";836136
09/2019;"LINEA 49";328406
09/2019;"LINEA 5";899012
09/2019;"LINEA 50";714719
09/2019;"LINEA 500";1467456
09/2019;"LINEA 500B";41463
09/2019;"LINEA 500C";73782
09/2019;"LINEA 500D";1576301
09/2019;"LINEA 500H";155852
09/2019;"LINEA 501 A";1515043
09/2019;"LINEA 501B";437575
09/2019;"LINEA 501C";2627443
09/2019;"LINEA 501D";59748
09/2019;"LINEA 501E";98955
09/2019;"LINEA 501F";208123
09/2019;"LINEA 501G";4805696
09/2019;"LINEA 501H";51024
09/2019;"LINEA 501I";310007
09/2019;"LINEA 502";12655
09/2019;"LINEA 502 SUR";373534
09/2019;"LINEA 502A";7094
09/2019;"LINEA 502B";51545
09/2019;"LINEA 503";142093
09/2019;"LINEA 503 B";421835
09/2019;"LINEA 503 ESTE";1026883
09/2019;"LINEA 503 ESTE LA PLATA";187876
09/2019;"LINEA 503A BS AS";1070140
09/2019;"LINEA 503C";74097
09/2019;"LINEA 503E";87139
09/2019;"LINEA 503H";113934
09/2019;"LINEA 504 ITUZAINGO";20710
09/2019;"LINEA 504A";1752924
09/2019;"LINEA 504B";49119
09/2019;"LINEA 504C";130985
09/2019;"LINEA 505 AMBA ALMIRANTE BROWN";563561
09/2019;"LINEA 505 D";397815
09/2019;"LINEA 505A";2298
09/2019;"LINEA 505C";29068
09/2019;"LINEA 506";166543
09/2019;"LINEA 506 AMBA ALMIRANTE BROWN";932428
09/2019;"LINEA 506A";156050
09/2019;"LINEA 506B";3486
09/2019;"LINEA 506F";346049
09/2019;"LINEA 507";106520
09/2019;"LINEA 507B";63957
09/2019;"LINEA 508";139070
09/2019;"LINEA 508A";130460
09/2019;"LINEA 508C";34408
09/2019;"LINEA 509";124632
09/2019;"LINEA 509C";89705
09/2019;"LINEA 509D";47696
09/2019;"LINEA 51";863673
09/2019;"LINEA 510A";168251
09/2019;"LINEA 510B";810943
09/2019;"LINEA 511";189000
09/2019;"LINEA 511A";174
09/2019;"LINEA 511B";386847
09/2019;"LINEA 512";65390
09/2019;"LINEA 513";1629
09/2019;"LINEA 513A";207573
09/2019;"LINEA 514";1026033
09/2019;"LINEA 515";626386
09/2019;"LINEA 518";1212306
09/2019;"LINEA 518 LA PLATA";32541
09/2019;"LINEA 520A";670420
09/2019;"LINEA 520B";499795
09/2019;"LINEA 520C";403651
09/2019;"LINEA 521 A";230500
09/2019;"LINEA 521 AMBA ALMIRANTE BROWN";68167
09/2019;"LINEA 522";42333
09/2019;"LINEA 523";199780
09/2019;"LINEA 524";300982
09/2019;"LINEA 526";488019
09/2019;"LINEA 527";142251
09/2019;"LINEA 53";1404351
09/2019;"LINEA 540 BSAS";549856
09/2019;"LINEA 541";548069
09/2019;"LINEA 543";682599
09/2019;"LINEA 544";628904
09/2019;"LINEA 548";361395
09/2019;"LINEA 549";125615
09/2019;"LINEA 55";903066
09/2019;"LINEA 550 BSAS";335490
09/2019;"LINEA 552 BSAS";382660
09/2019;"LINEA 553 BSAS";329583
09/2019;"LINEA 56";542709
09/2019;"LINEA 561";165307
09/2019;"LINEA 561B";36450
09/2019;"LINEA 562";358957
09/2019;"LINEA 564";428081
09/2019;"LINEA 57";1295920
09/2019;"LINEA 570";443571
09/2019;"LINEA 580";198194
09/2019;"LINEA 582";454997
09/2019;"LINEA 583";345777
09/2019;"LINEA 584";322479
09/2019;"LINEA 585";731808
09/2019;"LINEA 586";67606
09/2019;"LINEA 59";2044513
09/2019;"LINEA 6";399453
09/2019;"LINEA 60";2800982
09/2019;"LINEA 603";609641
09/2019;"LINEA 619";369721
09/2019;"LINEA 62";342087
09/2019;"LINEA 620";2680730
09/2019;"LINEA 621";985913
09/2019;"LINEA 622";1089022
09/2019;"LINEA 624";959942
09/2019;"LINEA 628";129459
09/2019;"LINEA 63";875595
09/2019;"LINEA 630";472054
09/2019;"LINEA 634";518523
09/2019;"LINEA 635 BS AS";282084
09/2019;"LINEA 64";829768
09/2019;"LINEA 65";887958
09/2019;"LINEA 67";961020
09/2019;"LINEA 670";1152036
09/2019;"LINEA 68";1322933
09/2019;"LINEA 6JUL";70505
09/2019;"LINEA 7";578069
09/2019;"LINEA 70";739441
09/2019;"LINEA 707";1362639
09/2019;"LINEA 71";1346190
09/2019;"LINEA 710";718458
09/2019;"LINEA 720";1736017
09/2019;"LINEA 721";1169171
09/2019;"LINEA 722";170536
09/2019;"LINEA 723";439553
09/2019;"LINEA 74";458201
09/2019;"LINEA 740";979257
09/2019;"LINEA 741";450833
09/2019;"LINEA 749";984858
09/2019;"LINEA 75";258870
09/2019;"LINEA 76";794609
09/2019;"LINEA 78";901166
09/2019;"LINEA 79";651884
09/2019;"LINEA 8";957357
09/2019;"LINEA 80";1276924
09/2019;"LINEA 84";652530
09/2019;"LINEA 85";1564851
09/2019;"LINEA 86";718325
09/2019;"LINEA 87";787463
09/2019;"LINEA 88";617113
09/2019;"LINEA 9";910985
09/2019;"LINEA 90";380624
09/2019;"LINEA 91";1034580
09/2019;"LINEA 92";1351576
09/2019;"LINEA 93";612095
09/2019;"LINEA 95";659294
09/2019;"LINEA 96";1594349
09/2019;"LINEA 97";378286
09/2019;"LINEA 98";1883057
09/2019;"LINEA A";6383785
09/2019;"LINEA B";7025600
09/2019;"LINEA C";4269413
09/2019;"LINEA D";6528853
09/2019;"LINEA E";2351456
09/2019;"LINEA H";2890216
09/2019;"LINEA OESTE";1771057
09/2019;"LINEA PREMETRO";59860
09/2019;LINEA_099;494119
09/2019;"LINEA_NORTE MUNICIPAL";527940
09/2019;MATIENZO-CEMENTERIO;10542
09/2019;"PARQUE-TOMAS JOFRE";417
09/2019;"SARMIENTO DIESEL MORENO - MERCEDES";3050
09/2019;"SARMIENTO MERLO - LOBOS";132267
08/2019;"FFCC BELGRANO NORTE";2384103
08/2019;"FFCC BELGRANO SUR";1578161
08/2019;"FFCC MITRE";49696
08/2019;"FFCC MITRE CAPILLA DEL SEÑOR";1439
08/2019;"FFCC MITRE-SUAREZ";2433228
08/2019;"FFCC MITRE-TIGRE";3003772
08/2019;"FFCC MITRE-ZARATE";4770
08/2019;"FFCC ROCA";15455736
08/2019;"FFCC SAN MARTIN";3213455
08/2019;"FFCC SARMIENTO";8108351
08/2019;"FFCC TREN DE LA COSTA";46199
08/2019;"FFCC URQUIZA";2238418
08/2019;FFCC_ROCA_CAÑUELAS-LOBOS;3637
08/2019;FFCC_ROCA_CAÑUELAS-MONTE;4550
08/2019;FFCC_ROCA_KORN-CHASCOMUS;6337
08/2019;FFCC_ROCA_UNIVERSITARIO;32236
08/2019;"LINEA 061";327830
08/2019;"LINEA 1";386718
08/2019;"LINEA 10";805508
08/2019;"LINEA 100";1136632
08/2019;"LINEA 101";1227589
08/2019;"LINEA 102";706150
08/2019;"LINEA 103";789662
08/2019;"LINEA 105";951138
08/2019;"LINEA 106";1167588
08/2019;"LINEA 107";1028552
08/2019;"LINEA 108";574296
08/2019;"LINEA 109";772228
08/2019;"LINEA 110";1121215
08/2019;"LINEA 111";741355
08/2019;"LINEA 113";960835
08/2019;"LINEA 114";877190
08/2019;"LINEA 115";624829
08/2019;"LINEA 117";1056918
08/2019;"LINEA 118";739581
08/2019;"LINEA 12";1586479
08/2019;"LINEA 123";363423
08/2019;"LINEA 124";843135
08/2019;"LINEA 126";1212820
08/2019;"LINEA 127";651333
08/2019;"LINEA 128";648878
08/2019;"LINEA 129";1188368
08/2019;"LINEA 130";1420486
08/2019;"LINEA 132";1798302
08/2019;"LINEA 133";726597
08/2019;"LINEA 134";794881
08/2019;"LINEA 135";827878
08/2019;"LINEA 136 BS AS";557682
08/2019;"LINEA 140";693282
08/2019;"LINEA 141";666775
08/2019;"LINEA 143";655776
08/2019;"LINEA 146";873761
08/2019;"LINEA 148";2229040
08/2019;"LINEA 15";1754169
08/2019;"LINEA 150";629686
08/2019;"LINEA 151";922128
08/2019;"LINEA 152";2538872
08/2019;"LINEA 153 BS AS";331894
08/2019;"LINEA 154";150431
08/2019;"LINEA 158";472449
08/2019;"LINEA 159";2179376
08/2019;"LINEA 160";1611416
08/2019;"LINEA 161";1501682
08/2019;"LINEA 163 BS AS";389700
08/2019;"LINEA 166";1217903
08/2019;"LINEA 168";1288130
08/2019;"LINEA 169";518605
08/2019;"LINEA 17";1221741
08/2019;"LINEA 172";536999
08/2019;"LINEA 174 BS AS";804323
08/2019;"LINEA 175";402769
08/2019;"LINEA 176";2083224
08/2019;"LINEA 177";776635
08/2019;"LINEA 178";1435940
08/2019;"LINEA 179";490750
08/2019;"LINEA 180";1904853
08/2019;"LINEA 181";740383
08/2019;"LINEA 182";1228694
08/2019;"LINEA 184";521710
08/2019;"LINEA 185";371784
08/2019;"LINEA 188";927033
08/2019;"LINEA 19";675840
08/2019;"LINEA 193";193555
08/2019;"LINEA 194";655726
08/2019;"LINEA 195";312220
08/2019;"LINEA 2";899087
08/2019;"LINEA 20";437428
08/2019;"LINEA 200";107563
08/2019;"LINEA 202";1145697
08/2019;"LINEA 203";3749453
08/2019;"LINEA 204";229905
08/2019;"LINEA 204B";232570
08/2019;"LINEA 205";354728
08/2019;"LINEA 21";2117824
08/2019;"LINEA 214";646408
08/2019;"LINEA 215";218320
08/2019;"LINEA 218";983965
08/2019;"LINEA 219";712786
08/2019;"LINEA 22";654543
08/2019;"LINEA 222";120234
08/2019;"LINEA 225";38637
08/2019;"LINEA 228 B";225902
08/2019;"LINEA 228A";28032
08/2019;"LINEA 228C";220304
08/2019;"LINEA 228E";260503
08/2019;"LINEA 228F";346598
08/2019;"LINEA 23";371219
08/2019;"LINEA 236";2712686
08/2019;"LINEA 237A";1675267
08/2019;"LINEA 238";589333
08/2019;"LINEA 239A";518210
08/2019;"LINEA 239B";246137
08/2019;"LINEA 24";1310564
08/2019;"LINEA 242";2395538
08/2019;"LINEA 244";305248
08/2019;"LINEA 245";211171
08/2019;"LINEA 247";1355556
08/2019;"LINEA 25";590203
08/2019;"LINEA 252";588507
08/2019;"LINEA 253 BS AS";75353
08/2019;"LINEA 257";1071567
08/2019;"LINEA 26";870477
08/2019;"LINEA 263A";264386
08/2019;"LINEA 263B";386897
08/2019;"LINEA 264";460188
08/2019;"LINEA 266";2155110
08/2019;"LINEA 269";1729602
08/2019;"LINEA 271";957552
08/2019;"LINEA 273";1237579
08/2019;"LINEA 275";759855
08/2019;"LINEA 276";1079816
08/2019;"LINEA 277";243551
08/2019;"LINEA 278";1311917
08/2019;"LINEA 28";2482203
08/2019;"LINEA 281";520242
08/2019;"LINEA 283";887438
08/2019;"LINEA 284";253751
08/2019;"LINEA 288";430676
08/2019;"LINEA 289";573899
08/2019;"LINEA 29";1047388
08/2019;"LINEA 291";684464
08/2019;"LINEA 293A";452690
08/2019;"LINEA 293B";307362
08/2019;"LINEA 295";591590
08/2019;"LINEA 297";471630
08/2019;"LINEA 298";810437
08/2019;"LINEA 299";584415
08/2019;"LINEA 300";575827
08/2019;"LINEA 302";572506
08/2019;"LINEA 303";877784
08/2019;"LINEA 304";1079328
08/2019;"LINEA 306";1653271
08/2019;"LINEA 307";1074566
08/2019;"LINEA 31";1199840
08/2019;"LINEA 310";210936
08/2019;"LINEA 311";892396
08/2019;"LINEA 312";541508
08/2019;"LINEA 313";87852
08/2019;"LINEA 314";1293520
08/2019;"LINEA 315";674582
08/2019;"LINEA 317 BS AS";643414
08/2019;"LINEA 318";1852152
08/2019;"LINEA 32";414919
08/2019;"LINEA 320";152278
08/2019;"LINEA 321 BS AS";212533
08/2019;"LINEA 322 BS AS";451827
08/2019;"LINEA 323";681563
08/2019;"LINEA 324";2539877
08/2019;"LINEA 325";349289
08/2019;"LINEA 326";389952
08/2019;"LINEA 327";617547
08/2019;"LINEA 328";848956
08/2019;"LINEA 329";430440
08/2019;"LINEA 33";1261136
08/2019;"LINEA 333A";530577
08/2019;"LINEA 336";166738
08/2019;"LINEA 338";1809982
08/2019;"LINEA 34";1319579
08/2019;"LINEA 341";1331629
08/2019;"LINEA 343";1269091
08/2019;"LINEA 350";606896
08/2019;"LINEA 354";955930
08/2019;"LINEA 355";60812
08/2019;"LINEA 36";245914
08/2019;"LINEA 365";2683754
08/2019;"LINEA 37";1213184
08/2019;"LINEA 370";311337
08/2019;"LINEA 371";1040615
08/2019;"LINEA 372";169133
08/2019;"LINEA 373";477282
08/2019;"LINEA 378";1238435
08/2019;"LINEA 379";31483
08/2019;"LINEA 382";646713
08/2019;"LINEA 383";557404
08/2019;"LINEA 384";231656
08/2019;"LINEA 385";410502
08/2019;"LINEA 386";137862
08/2019;"LINEA 388";159878
08/2019;"LINEA 39";1545041
08/2019;"LINEA 390";311356
08/2019;"LINEA 391";769832
08/2019;"LINEA 392";184242
08/2019;"LINEA 394";669365
08/2019;"LINEA 395";607931
08/2019;"LINEA 4";696687
08/2019;"LINEA 403";6729
08/2019;"LINEA 404";890991
08/2019;"LINEA 405";495154
08/2019;"LINEA 406";816964
08/2019;"LINEA 407";462159
08/2019;"LINEA 41";1202300
08/2019;"LINEA 410";298925
08/2019;"LINEA 414";43181
08/2019;"LINEA 418";71107
08/2019;"LINEA 42";869693
08/2019;"LINEA 421";88134
08/2019;"LINEA 422";871995
08/2019;"LINEA 429";52225
08/2019;"LINEA 430";99880
08/2019;"LINEA 435";123387
08/2019;"LINEA 436";132160
08/2019;"LINEA 437";409553
08/2019;"LINEA 44";800478
08/2019;"LINEA 440";2914507
08/2019;"LINEA 441";535644
08/2019;"LINEA 443";38232
08/2019;"LINEA 443A";270117
08/2019;"LINEA 445";247443
08/2019;"LINEA 448";1329280
08/2019;"LINEA 449";635959
08/2019;"LINEA 45";898638
08/2019;"LINEA 452 LANCHAS";1235
08/2019;"LINEA 46";708186
08/2019;"LINEA 461";100447
08/2019;"LINEA 462";74463
08/2019;"LINEA 463";568912
08/2019;"LINEA 464";328299
08/2019;"LINEA 47";858127
08/2019;"LINEA 49";337575
08/2019;"LINEA 5";910839
08/2019;"LINEA 50";738657
08/2019;"LINEA 500";1480913
08/2019;"LINEA 500B";40719
08/2019;"LINEA 500C";77432
08/2019;"LINEA 500D";1592737
08/2019;"LINEA 500H";161727
08/2019;"LINEA 501 A";1569759
08/2019;"LINEA 501B";434036
08/2019;"LINEA 501C";2787767
08/2019;"LINEA 501D";59717
08/2019;"LINEA 501E";100393
08/2019;"LINEA 501F";215429
08/2019;"LINEA 501G";4830062
08/2019;"LINEA 501H";49441
08/2019;"LINEA 501I";306494
08/2019;"LINEA 502";9470
08/2019;"LINEA 502 SUR";369708
08/2019;"LINEA 502A";7189
08/2019;"LINEA 502B";50034
08/2019;"LINEA 503";127895
08/2019;"LINEA 503 B";430048
08/2019;"LINEA 503 ESTE";1014347
08/2019;"LINEA 503 ESTE LA PLATA";185056
08/2019;"LINEA 503A BS AS";1089068
08/2019;"LINEA 503C";75028
08/2019;"LINEA 503E";89801
08/2019;"LINEA 503H";110693
08/2019;"LINEA 504 ITUZAINGO";18774
08/2019;"LINEA 504A";1854901
08/2019;"LINEA 504B";49382
08/2019;"LINEA 504C";117642
08/2019;"LINEA 505 AMBA ALMIRANTE BROWN";579920
08/2019;"LINEA 505 D";387200
08/2019;"LINEA 505A";2613
08/2019;"LINEA 505C";31104
08/2019;"LINEA 506";163999
08/2019;"LINEA 506 AMBA ALMIRANTE BROWN";973427
08/2019;"LINEA 506A";159405
08/2019;"LINEA 506B";3953
08/2019;"LINEA 506F";337789
08/2019;"LINEA 507";103155
08/2019;"LINEA 507B";63990
08/2019;"LINEA 508";132861
08/2019;"LINEA 508A";134572
08/2019;"LINEA 508C";35308
08/2019;"LINEA 509";125399
08/2019;"LINEA 509C";88894
08/2019;"LINEA 509D";44542
08/2019;"LINEA 51";844786
08/2019;"LINEA 510A";167575
08/2019;"LINEA 510B";829339
08/2019;"LINEA 511";181579
08/2019;"LINEA 511A";194
08/2019;"LINEA 511B";385971
08/2019;"LINEA 512";69474
08/2019;"LINEA 513";1248
08/2019;"LINEA 513A";214608
08/2019;"LINEA 514";1041402
08/2019;"LINEA 514BA";5
08/2019;"LINEA 515";646951
08/2019;"LINEA 518";1265488
08/2019;"LINEA 518 LA PLATA";31501
08/2019;"LINEA 520A";689280
08/2019;"LINEA 520B";515958
08/2019;"LINEA 520C";399694
08/2019;"LINEA 521 A";253051
08/2019;"LINEA 521 AMBA ALMIRANTE BROWN";57837
08/2019;"LINEA 522";45359
08/2019;"LINEA 523";205051
08/2019;"LINEA 524";307344
08/2019;"LINEA 526";485502
08/2019;"LINEA 527";140826
08/2019;"LINEA 53";1418180
08/2019;"LINEA 540 BSAS";577017
08/2019;"LINEA 541";561543
08/2019;"LINEA 543";699037
08/2019;"LINEA 544";653856
08/2019;"LINEA 548";369114
08/2019;"LINEA 549";119286
08/2019;"LINEA 55";937896
08/2019;"LINEA 550 BSAS";319419
08/2019;"LINEA 552 BSAS";388758
08/2019;"LINEA 553 BSAS";342284
08/2019;"LINEA 56";545413
08/2019;"LINEA 561";167415
08/2019;"LINEA 561B";36629
08/2019;"LINEA 562";364105
08/2019;"LINEA 564";435260
08/2019;"LINEA 57";1316676
08/2019;"LINEA 570";420068
08/2019;"LINEA 580";197020
08/2019;"LINEA 582";438339
08/2019;"LINEA 583";349687
08/2019;"LINEA 584";320239
08/2019;"LINEA 585";744305
08/2019;"LINEA 586";69235
08/2019;"LINEA 59";2089696
08/2019;"LINEA 6";405004
08/2019;"LINEA 60";2858852
08/2019;"LINEA 603";614726
08/2019;"LINEA 619";376717
08/2019;"LINEA 62";337514
08/2019;"LINEA 620";2737574
08/2019;"LINEA 621";983034
08/2019;"LINEA 622";1119397
08/2019;"LINEA 624";965114
08/2019;"LINEA 628";130127
08/2019;"LINEA 63";884363
08/2019;"LINEA 630";436614
08/2019;"LINEA 634";536959
08/2019;"LINEA 635 BS AS";285998
08/2019;"LINEA 64";863181
08/2019;"LINEA 65";892430
08/2019;"LINEA 67";952520
08/2019;"LINEA 670";1183895
08/2019;"LINEA 68";1357058
08/2019;"LINEA 6JUL";73875
08/2019;"LINEA 7";587363
08/2019;"LINEA 70";754645
08/2019;"LINEA 707";1391356
08/2019;"LINEA 71";1370171
08/2019;"LINEA 710";736433
08/2019;"LINEA 720";1777491
08/2019;"LINEA 721";1178617
08/2019;"LINEA 722";177737
08/2019;"LINEA 723";427571
08/2019;"LINEA 74";451463
08/2019;"LINEA 740";994496
08/2019;"LINEA 741";476096
08/2019;"LINEA 749";1017174
08/2019;"LINEA 75";259762
08/2019;"LINEA 76";818215
08/2019;"LINEA 78";885353
08/2019;"LINEA 79";636263
08/2019;"LINEA 8";972599
08/2019;"LINEA 80";1344785
08/2019;"LINEA 84";649981
08/2019;"LINEA 85";1586710
08/2019;"LINEA 86";722424
08/2019;"LINEA 87";806051
08/2019;"LINEA 88";578499
08/2019;"LINEA 9";920980
08/2019;"LINEA 90";376905
08/2019;"LINEA 91";1048379
08/2019;"LINEA 92";1347183
08/2019;"LINEA 93";630985
08/2019;"LINEA 95";652346
08/2019;"LINEA 96";1632738
08/2019;"LINEA 97";371062
08/2019;"LINEA 98";1883271
08/2019;"LINEA A";6443595
08/2019;"LINEA B";7177852
08/2019;"LINEA C";4401660
08/2019;"LINEA D";6725440
08/2019;"LINEA E";2331775
08/2019;"LINEA H";2908488
08/2019;"LINEA OESTE";1753141
08/2019;"LINEA PREMETRO";63455
08/2019;LINEA_099;498851
08/2019;"LINEA_NORTE MUNICIPAL";520708
08/2019;MATIENZO-CEMENTERIO;11053
08/2019;"PARQUE-TOMAS JOFRE";252
08/2019;"SARMIENTO DIESEL MORENO - MERCEDES";3589
