PERIODO;MODO;JURISDICCION;GRUPO TARIFARIO;EMPRESA;LINEA;Suma de CANTIDAD;ACTUALIZACION
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;MICRO OMNIBUS TIGRE S.A.;LINEA 720;1790366;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;PILAR BUS S.A;LINEA 510B;576329;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;RUTA BUS S.A.;LINEA 501H;24231;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;RUTA BUS S.A.;LINEA 511B;288969;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;SAN VICENTE S.A. DE TRANSPORTES;LINEA 503C;55690;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;SERGIO A. RIVAS S.R.L;LINEA 503H;65615;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;TRANSPORTE 11 DE JUNIO S.R.L.;LINEA 500C;41152;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;TRANSPORTE 11 DE JUNIO S.R.L.;LINEA 501F;130286;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;TRANSPORTE 11 DE JUNIO S.R.L.;LINEA 502B;30260;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;UNION PLATENSE SRL;LINEA 520C;224608;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS;LINEA 723;436681;201903
201301;COLECTIVO;NACIONAL;D.F.;17 DE AGOSTO S.A.;LINEA 26;921776;201903
201301;COLECTIVO;NACIONAL;D.F.;COLECTIVEROS UNIDOS S.A.;LINEA 106;995968;201903
201301;COLECTIVO;NACIONAL;D.F.;D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR;LINEA 44;715645;201903
201301;COLECTIVO;NACIONAL;D.F.;EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A;LINEA 108;518357;201903
201301;COLECTIVO;NACIONAL;D.F.;GENERAL TOMAS GUIDO S.A.C.I.F.;LINEA 25;459180;201903
201301;COLECTIVO;NACIONAL;D.F.;GENERAL TOMAS GUIDO S.A.C.I.F.;LINEA 84;503261;201903
201301;COLECTIVO;NACIONAL;D.F.;JUAN B. JUSTO S.A.T.C.I.;LINEA 34;1129073;201903
201301;COLECTIVO;NACIONAL;D.F.;LA NUEVA METROPOL S.A.;LINEA 65;772089;201903
201301;COLECTIVO;NACIONAL;D.F.;LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.;LINEA 47;886082;201903
201301;COLECTIVO;NACIONAL;D.F.;M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR;LINEA 151;744257;201903
201301;COLECTIVO;NACIONAL;D.F.;MICROOMNIBUS BARRANCAS DE BELGRANO S.A.;LINEA 118;822437;201903
201301;COLECTIVO;NACIONAL;D.F.;NUDO S.A.;LINEA 107;643674;201903
201301;COLECTIVO;NACIONAL;D.F.;NUDO S.A.;LINEA 50;723741;201903
201301;COLECTIVO;NACIONAL;D.F.;NUDO S.A.;LINEA 6;556308;201903
201301;COLECTIVO;NACIONAL;D.F.;NUEVOS RUMBOS S.A.T.A.C.I.F.I.;LINEA 132;2099033;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.;LINEA 7;666532;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSP. SGTO. CABRAL;LINEA 102;599847;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.;LINEA 61;436885;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.;LINEA 62;429526;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTE NUEVE DE JULIO SAC.;LINEA 109;769443;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES 27 DE JUNIO S.A.C.I.F.;LINEA 99;393760;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES AUTOMOTORES CALLAO S.A.;LINEA 12;1330313;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;LINEA 115;679929;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES COLEGIALES S.A.C.I.;LINEA 42;598675;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES LOPE DE VEGA S.A.C.I.;LINEA 76;753538;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES RIO GRANDE S.A.C.I.F.;LINEA 23;361202;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES RIO GRANDE S.A.C.I.F.;LINEA 5;1010032;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES SANTA FE S.A.C.I.;LINEA 39;1250637;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES SESENTA Y OCHO S.R.L.;LINEA 68;1229758;201903
201301;COLECTIVO;NACIONAL;D.F.;TRANSPORTES SOL DE MAYO C.I.S.A.;LINEA 4;614685;201903
201301;COLECTIVO;NACIONAL;D.F.;VUELTA DE ROCHA S.A.T.C.I.;LINEA 64;905533;201903
201301;COLECTIVO;NACIONAL;S.G.I.;4 DE SEPTIEMBRE S.A.T.C.P.;LINEA 37;1146637;201903
201301;COLECTIVO;NACIONAL;S.G.I.;ALMAFUERTE S.A.T.A.C.I.;LINEA 55;879264;201903
201301;COLECTIVO;NACIONAL;S.G.I.;AZUL S.A. DE TRANSPORTE AUTOMOTOR;LINEA 41;891820;201903
201301;COLECTIVO;NACIONAL;S.G.I.;BERNARDINO RIVADAVIA S.A.T.A.;LINEA 113;750149;201903
201301;COLECTIVO;NACIONAL;S.G.I.;BERNARDINO RIVADAVIA S.A.T.A.;LINEA 63;800054;201903
201301;COLECTIVO;NACIONAL;S.G.I.;BUENOS AIRES BUS SOCIEDAD ANONIMA;LINEA 49;205327;201903
201301;COLECTIVO;NACIONAL;S.G.I.;BUS DEL OESTE S.A.;LINEA 97;305329;201903
201301;COLECTIVO;NACIONAL;S.G.I.;CARDENAS S.A. EMPRESA DE TRANSPORTES;LINEA 126;1163368;201903
201301;COLECTIVO;NACIONAL;S.G.I.;COMPA¥IA MICROOMNIBUS LA COLORADA SACI;LINEA 178;1331903;201903
201301;COLECTIVO;NACIONAL;S.G.I.;CONSULTORES ASOCIADOS ECOTRANS S.A.;LINEA 136;808129;201903
201301;COLECTIVO;NACIONAL;S.G.I.;CONSULTORES ASOCIADOS ECOTRANS S.A.;LINEA 153;268254;201903
201301;COLECTIVO;NACIONAL;S.G.I.;CONSULTORES ASOCIADOS ECOTRANS S.A.;LINEA 163;227325;201903
201301;COLECTIVO;NACIONAL;S.G.I.;CONSULTORES ASOCIADOS ECOTRANS S.A.;LINEA 174;586906;201903
201301;COLECTIVO;NACIONAL;S.G.I.;D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR;LINEA 101;1093984;201903
201301;COLECTIVO;NACIONAL;S.G.I.;D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR;LINEA 28;2154408;201903
201301;COLECTIVO;NACIONAL;S.G.I.;D.U.V.I. SOCIEDAD ANONIMA;LINEA 193;6428;201903
201301;COLECTIVO;NACIONAL;S.G.I.;D.U.V.I. SOCIEDAD ANONIMA;LINEA 86;844911;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EL NUEVO HALCON S.A.;LINEA 148;2008536;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EL PUENTE S.A.T.;LINEA 128;481715;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EL PUENTE S.A.T.;LINEA 158;421110;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EL PUENTE S.A.T.;LINEA 32;508741;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EL PUENTE S.A.T.;LINEA 75;241251;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EL PUENTE SAT;LINEA 32BCDE;1078680;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.;LINEA 29;920981;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMP.DE TRANSP.MICROOMN.SAENZ PE¥A S.R.L.;LINEA 92;1168660;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.;LINEA 24;1036899;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMPRESA ANTARTIDA ARGENTINA S.A.T.;LINEA 95;672015;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMPRESA DE TRANSP. MARIANO MORENO S.A.;LINEA 36;444057;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A;LINEA 21;2237728;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMPRESA DE TRANSPORTES 104 S.R.L.;LINEA 104;68685;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMPRESA DE TRANSPORTES AMERICA S.A.C.I.;LINEA 105;851699;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMPRESA LINEA 216 S.A.T.;LINEA 166;1033352;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.;LINEA 152;2077382;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EXPRESO GENERAL SARMIENTO S.A.;LINEA 176;1883668;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EXPRESO LOMAS S.A.;LINEA 112;383229;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EXPRESO LOMAS S.A.;LINEA 165;1084434;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EXPRESO QUILMES S.A.;LINEA 98;1417126;201903
201301;COLECTIVO;NACIONAL;S.G.I.;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;LINEA 168;1660755;201903
201301;COLECTIVO;NACIONAL;S.G.I.;GENERAL PUEYRREDON S.A.T.C.I.;LINEA 110;921496;201903
201301;COLECTIVO;NACIONAL;S.G.I.;GENERAL TOMAS GUIDO S.A.C.I.F.;LINEA 9;738155;201903
201301;COLECTIVO;NACIONAL;S.G.I.;GRUPO LINEA 179 S.A.;LINEA 179;391808;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LA CABA¥A S.A.;LINEA 172;524895;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LA CENTRAL DE VICENTE LOPEZ S.A.;LINEA 184;398511;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS;LINEA 180;1826892;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LINEA 10 S.A.;LINEA 10;636074;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LINEA 17 S.A.;LINEA 17;860616;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LINEA 213 S.A. DE TRANSPORTE;LINEA 53;1171746;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LINEA 22 S.A.;LINEA 22;668918;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LINEA 71 S.A.;LINEA 71;1460583;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LOS CONSTITUYENTES S.A.T.;LINEA 111;542737;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LOS CONSTITUYENTES S.A.T.;LINEA 127;572797;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LOS CONSTITUYENTES S.A.T.;LINEA 78;723580;201903
201301;COLECTIVO;NACIONAL;S.G.I.;LOS CONSTITUYENTES S.A.T.;LINEA 87;707230;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MAYO S.A.T.A.;LINEA 141;829821;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MICRO OMNIBUS NORTE S.A.;LINEA 60;2513762;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MICRO OMNIBUS QUILMES S.A.C.I. Y F.;LINEA 159;2120256;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MICRO OMNIBUS SUR S.A.C.;LINEA 160;1268109;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I;LINEA 59;1520056;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.;LINEA 154;118061;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.;LINEA 45;729809;201903
201301;COLECTIVO;NACIONAL;S.G.I.;MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.;LINEA 19;531697;201903
201301;COLECTIVO;NACIONAL;S.G.I.;NUDO S.A.;LINEA 150;591248;201903
201301;COLECTIVO;NACIONAL;S.G.I.;ROCARAZA S.A.;LINEA 146;735065;201903
201301;COLECTIVO;NACIONAL;S.G.I.;SAN VICENTE S.A. DE TRANSPORTES;LINEA 177;755461;201903
201301;COLECTIVO;NACIONAL;S.G.I.;SAN VICENTE S.A. DE TRANSPORTES;LINEA 51;801082;201903
201301;COLECTIVO;NACIONAL;S.G.I.;SAN VICENTE S.A. DE TRANSPORTES;LINEA 74;424150;201903
201301;COLECTIVO;NACIONAL;S.G.I.;SAN VICENTE S.A. DE TRANSPORTES;LINEA 79;577779;201903
201301;COLECTIVO;NACIONAL;S.G.I.;SARGENTO CABRAL S.A.DE TRANSPORTE;LINEA 182;1165359;201903
201301;COLECTIVO;NACIONAL;S.G.I.;SOCIEDAD ANONIMA EXPRESO SUDOESTE;LINEA 85;1458086;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.;LINEA 2;864254;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.;LINEA 114;936436;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.;LINEA 124;409416;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.;LINEA 133;737245;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.;LINEA 140;726641;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.;LINEA 143;497074;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE ESCALADA S.A.T.;LINEA 169;543924;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE ESCALADA S.A.T.;LINEA 175;268395;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE IDEAL SAN JUSTO S.A.;LINEA 185;141120;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE IDEAL SAN JUSTO S.A.;LINEA 96;1956432;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE LARRAZABAL C.I.S.A.;LINEA 117;904678;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE LARRAZABAL C.I.S.A.;LINEA 161;1251338;201903
201301;COLECTIVO;NACIONAL;S.G.I.;TRANSPORTE LARRAZABAL C.I.S.A.;LINEA 188;801078;201903
